Base_Visa_Type,Full_Visa_Type,Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
F21,F21 (Regular),MUMBAI VAC,Regular,"21 Jul, 25",29,24,2025-07-17 13:07:55,27d ago
M-1,M-1 (Regular),CHENNAI,Regular,"28 Aug, 25",1,1,2025-08-07 10:52:32,7d ago
M-1,M-1 (Dropbox),CHENNAI VAC,Dropbox,"01 Aug, 25",9,10,2025-07-17 11:28:48,28d ago
M-1,M-1 (Regular),CHENNAI VAC,Regular,"19 Aug, 25",1,1,2025-08-13 03:01:14,1d ago
M-1,M-1 (Regular),HYDERABAD,Regular,"25 Aug, 25",1,1,2025-08-07 11:00:21,7d ago
M-1,M-1 (Regular),HYDERABAD VAC,Regular,"19 Aug, 25",1,11,2025-08-13 03:01:28,1d ago
M-1,M-1 (Regular),MUMBAI,Regular,"29 Aug, 25",1,14,2025-08-04 04:57:03,10d ago
M-1,M-1 (Regular),MUMBAI VAC,Regular,"13 Aug, 25",1,0,2025-08-04 05:00:59,10d ago
M-1,M-1 (Regular),NEW DELHI,Regular,"21 Aug, 25",7,23,2025-08-02 10:19:47,12d ago
M-1,M-1 (Regular),NEW DELHI VAC,Regular,"12 Aug, 25",1,0,2025-08-03 05:44:50,11d ago
F-2,F-2 (Regular),CHENNAI,Regular,"21 Aug, 25",2,1,2025-08-09 04:34:12,5d ago
F-2,F-2 (Dropbox),CHENNAI VAC,Dropbox,"07 Aug, 25",4,4,2025-07-25 02:03:31,20d ago
F-2,F-2 (Regular),CHENNAI VAC,Regular,"21 Aug, 25",2,0,2025-08-13 16:30:38,19h ago
F-2,F-2 (Regular),HYDERABAD,Regular,"29 Aug, 25",1,1,2025-08-09 19:31:07,4d ago
F-2,F-2 (Regular),HYDERABAD VAC,Regular,"18 Aug, 25",6,3,2025-08-13 09:30:47,1d ago
F-2,F-2 (Regular),MUMBAI,Regular,"12 Aug, 25",1,1,2025-08-05 09:32:37,9d ago
F-2,F-2 (Regular),MUMBAI VAC,Regular,"19 Aug, 25",1,0,2025-08-11 12:07:02,3d ago
F-2,F-2 (Regular),NEW DELHI,Regular,"28 Aug, 25",2,21,2025-08-04 03:58:54,10d ago
